PLAYER,TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,FP
Aaron Holiday,HOU,HOU @ BKN,01/01/2026,W,3,3,1,2,50.0,1,2,50.0,0,0,-,0,0,0,1,0,0,0,0,5,4.5
Drake Powell,BKN,BKN vs. HOU,01/01/2026,L,25,8,3,9,33.3,1,4,25.0,1,3,33.3,0,0,0,1,1,0,2,2,-25,10.5
Cam Thomas,BKN,BKN vs. HOU,01/01/2026,L,23,21,8,13,61.5,3,7,42.9,2,4,50.0,0,1,1,1,0,0,4,2,2,19.7
Jabari Smith Jr.,HOU,HOU @ BKN,01/01/2026,W,32,14,5,12,41.7,2,6,33.3,2,2,100,2,4,6,1,1,1,1,4,23,27.7
JD Davison,HOU,HOU @ BKN,01/01/2026,W,1,0,0,0,-,0,0,-,0,0,-,0,1,1,1,0,0,0,0,5,2.7
Reed Sheppard,HOU,HOU @ BKN,01/01/2026,W,31,14,5,11,45.5,2,6,33.3,2,3,66.7,1,1,2,1,1,3,1,2,0,28.9
Jalen Duren,DET,DET vs. MIA,01/01/2026,L,18,12,6,12,50.0,0,0,-,0,0,-,0,5,5,0,1,0,1,1,-17,20.0
Cade Cunningham,DET,DET vs. MIA,01/01/2026,L,40,31,6,16,37.5,2,6,33.3,17,18,94.4,1,7,8,11,3,2,7,4,6,65.1
Simone Fontecchio,MIA,MIA @ DET,01/01/2026,W,6,5,2,3,66.7,1,1,100,0,0,-,1,2,3,0,0,0,1,1,4,7.6
Javonte Green,DET,DET vs. MIA,01/01/2026,L,26,11,4,7,57.1,1,2,50.0,2,2,100,0,2,2,1,1,0,1,2,-2,16.9
Davion Mitchell,MIA,MIA @ DET,01/01/2026,W,33,8,3,7,42.9,2,3,66.7,0,0,-,1,0,1,11,2,1,5,1,3,29.7
Dru Smith,MIA,MIA @ DET,01/01/2026,W,15,9,3,4,75.0,1,2,50.0,2,2,100,0,0,0,1,3,1,1,5,3,21.5
Jaden Ivey,DET,DET vs. MIA,01/01/2026,L,21,2,1,4,25.0,0,2,0.0,0,0,-,0,1,1,3,0,0,1,0,-6,6.7
Paul Reed,DET,DET vs. MIA,01/01/2026,L,12,9,4,4,100,0,0,-,1,2,50.0,2,5,7,1,2,0,1,1,13,23.9
Ronald Holland II,DET,DET vs. MIA,01/01/2026,L,17,2,1,7,14.3,0,2,0.0,0,0,-,2,3,5,1,1,0,2,2,1,10.5
Duncan Robinson,DET,DET vs. MIA,01/01/2026,L,20,9,3,7,42.9,1,5,20.0,2,2,100,0,2,2,2,0,0,1,1,-10,13.4
Kasparas Jakučionis,MIA,MIA @ DET,01/01/2026,W,6,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,1,11,0.0
Norman Powell,MIA,MIA @ DET,01/01/2026,W,35,36,12,23,52.2,7,14,50.0,5,5,100,1,1,2,2,1,0,3,2,4,41.4
Nikola Jović,MIA,MIA @ DET,01/01/2026,W,24,5,1,10,10.0,1,7,14.3,2,2,100,0,5,5,5,0,1,2,0,-5,19.5
Isaiah Stewart,DET,DET vs. MIA,01/01/2026,L,30,6,2,5,40.0,1,3,33.3,1,2,50.0,0,4,4,2,0,5,2,4,-1,26.8
Bam Adebayo,MIA,MIA @ DET,01/01/2026,W,33,15,5,14,35.7,1,2,50.0,4,4,100,3,11,14,0,2,1,1,2,17,39.8
Ausar Thompson,DET,DET vs. MIA,01/01/2026,L,30,12,5,8,62.5,0,0,-,2,3,66.7,0,2,2,2,1,2,2,2,-13,24.4
Marcus Sasser,DET,DET vs. MIA,01/01/2026,L,24,18,6,10,60.0,4,6,66.7,2,2,100,1,3,4,2,2,0,2,3,-1,29.8
Kel'el Ware,MIA,MIA @ DET,01/01/2026,W,27,4,1,6,16.7,0,4,0.0,2,2,100,3,10,13,0,2,2,1,1,0,30.6
Andrew Wiggins,MIA,MIA @ DET,01/01/2026,W,32,17,7,20,35.0,1,5,20.0,2,2,100,6,2,8,1,2,0,2,4,-9,32.1
Jaime Jaquez Jr.,MIA,MIA @ DET,01/01/2026,W,30,19,9,12,75.0,0,1,0.0,1,3,33.3,0,3,3,5,2,0,2,2,2,34.1
Tyrese Maxey,PHI,PHI @ DAL,01/01/2026,W,42,34,14,24,58.3,4,10,40.0,2,2,100,0,8,8,10,2,2,3,0,18,67.6
Jabari Walker,PHI,PHI @ DAL,01/01/2026,W,5,0,0,2,0.0,0,2,0.0,0,0,-,0,0,0,0,0,0,0,0,-4,0.0
